scene,title,visual_type,source,sha256
1,"Self-Compassion, Repair, and Resilience",unique cinematic photograph,scene_01.png,cc72fa3123e703d68e074ef721eb2e4b3244b1ba7eee5194adbe519a2c7da722
2,Your learning journey,unique cinematic photograph,scene_02.png,0b9d2a2407ee655a47395981af13323100fcbac2a675c129672f1e0d89154207
3,Self-compassion has four working elements,unique cinematic photograph,scene_03.png,5746497a2ab9abf738707c36ae3873910e295ead960674c83f64f0d32e533253
4,Compassion is not pity or permission,unique cinematic photograph,scene_04.png,bf7acb2910a50730222d9b9386db769ecd1cb6304b402e30949e45881d4349aa
5,Checkpoint 1 · Compassion or avoidance?,unique cinematic photograph,scene_05.png,c256b26367a0ed8fc91b7a3935812eb45990c69ee5921b77302b49cac9ce1c4c
6,Start with the facts of the setback,unique cinematic photograph,scene_06.png,456cd162e62b905f141600fb96e92cbdb0c44326f9fda288defd63fcb669dccb
7,Use the Recovery Sequence,unique cinematic photograph,scene_07.png,c8952d9c7a3b05d7d46961a645c76f2711d103b088e0e4060e532b48e0ed8571
8,Name the loss without rushing meaning,unique cinematic photograph,scene_08.png,38f8b4ed64309be868add884cce7913ecdba6a2dd76f4e9ae1eaee97122ea201
9,Needs become practical when they are specific,unique cinematic photograph,scene_09.png,76921dc0ac678bd20a5accc52c040a6d80e82717b331446a0c04708d34f14f0c
10,Create a minimum viable day,unique cinematic photograph,scene_10.png,7138f369f780df09b02269820d3fd528ecac8a6d4fea94e7eb461cbe762c9dff
11,Checkpoint 2 · Pace recovery,unique cinematic photograph,scene_11.png,f7c89eecabadfb6a863ec5dc3f0eadef44dc7deb70283da25d460622d056ee62
12,Compassionate self-talk is specific,unique cinematic photograph,scene_12.png,d86b7ba2a898d5aff8dc90a63ffff8af7cff92f9be3eae8ae869629c2d014b10
13,The body may need a slower pace,unique cinematic photograph,scene_13.png,b393cf189f22dde7aa78769e1816e8d2c7fbcadce6bc80c4130508f69c747192
14,Support is part of resilience,unique cinematic photograph,scene_14.png,0f5788c18a23d0395f403386f391f0acbe397adf0f352f61dadcab8bf9520f18
15,Build a support map,unique cinematic photograph,scene_15.png,dc30057ba423d8dc723f886f78826cbff10a4b1b05a6f886e64b5dba2b069f4b
16,Resilience includes flexible expectations,unique cinematic photograph,scene_16.png,885fb1fcce1e025ae999714a43f5a1f7e17f4fa8a94ac87b698130ab92a8f346
17,Checkpoint 3 · Resilience in action,unique cinematic photograph,scene_17.png,458846ba4c3ba611dc0b606339db72f85155d1129622eafa6d28b696fff642b3
18,Repair begins with impact,unique cinematic photograph,scene_18.png,edd958dc3f91a982b4dcf2cae2e7f1cdb3ca8df327ec633cfb0b2d6948f69003
19,Use the Repair Path,unique cinematic photograph,scene_19.png,45838f22d17b7e233b15ae11494065eb02b2287fd296bc98b682887da9fbde82
20,A sincere apology is concise,unique cinematic photograph,scene_20.png,855f29738aed20139feb787d21af1b542205e0191cb2adbf8c057d277d3f0138
21,Restitution should be proportionate,unique cinematic photograph,scene_21.png,c5039fec3dca9e2e7f55d3af4ef0705f498cc5bfa1dea5112ca614bf15b299fc
22,Repair does not always require contact,unique cinematic photograph,scene_22.png,cb9158d402b7c3685912c29c9694f50e1b3c303fd2765b1c5602acea40c0b170
23,Trust returns through evidence over time,unique cinematic photograph,scene_23.png,7d76d23b627b99e1e0bccae910c3d47b5fa96cb396a3f94da915f25383858c58
24,Resilience needs boundaries,unique cinematic photograph,scene_24.png,e5bcf84434aaf59f16cac1199df4f0a34b4a45671f92fdd91e955105c99880b0
25,Checkpoint 4 · Responsible repair,unique cinematic photograph,scene_25.png,4090e702b5e75b26a7a25033422b0cf61ffff5da91c77ee2b19b176c647695a4
26,Tasha's case: the failed launch,unique cinematic photograph,scene_26.png,abe20ef835459569d4eaddf6432d5e25c36b4795552caa79d9973b204065622b
27,Tasha names the loss,unique cinematic photograph,scene_27.png,86fbecced14122921ab9edb73af0f44520ed83dbc1426b2436cec7e5c6d16add
28,Tasha separates outcome from worth,unique cinematic photograph,scene_28.png,90c6902f7a76bc390a11521aef0321ed5061f395b1fa133745749d8f3a84824e
29,Tasha plans repair,unique cinematic photograph,scene_29.png,0fc3a64177780232c13f5e88733a5a4cb034a1b0a747b56a4f97292d53e2db0a
30,Tasha designs a recovery experiment,unique cinematic photograph,scene_30.png,078ff5b60d25794d86a374141de78c1b18476a9ba4f677ca4915c27ebe56564c
