scene,title,visual_type,source,sha256
1,"Attachment Patterns, Emotional Safety, and Choice",unique cinematic photograph,scene_01.png,f9b7bbf8107c9fd2f8322fcbf96451e3093794a67a556cbc10849d1e310f4f0e
2,Your learning journey,unique cinematic photograph,scene_02.png,980eaf482cd757e6d25c78f29bac3b370f6aad980ada26def54e18dbd89e3cc4
3,What does attachment mean here?,unique cinematic photograph,scene_03.png,0324a68982597fff90e13ccc7c1e29d2075ec9df983da29bf01bea27b06dae1b
4,Four myths to leave behind,unique cinematic photograph,scene_04.png,c487134f5c2b5bdb869c33e9fba68b3816e2fab3a90ec1a4c1b7c34ca2c0dbd0
5,Every pattern has protective logic,unique cinematic photograph,scene_05.png,fcb9a7d267cb408b044f06f416f228be36d1938137d74f64fbba7b4a8e2318b2
6,Checkpoint 1 · Lens or label?,unique cinematic photograph,scene_06.png,8fe87db4b92c27ce30c93437b29002f197fe6225b5b972a164934d3353ca1bec
7,The four-pattern map,unique cinematic photograph,scene_07.png,ed8f9a340a8fbc37cc55e23c7d32c9dbbdebff01ab478bfabd4b660d8272d8ed
8,Secure functioning,unique cinematic photograph,scene_08.png,4daa8fe78686e206f41c53e44eb6377caf74f6171bc6cd9fd8dbd04d28d40ae8
9,Anxious activation,unique cinematic photograph,scene_09.png,f652296b7eca3a6ac7b61c0089a3b88ebf9ed77711c7d286243fa713af711cc0
10,Avoidant protection,unique cinematic photograph,scene_10.png,a4559ec673015d7d86976aecdfe7b7f480343163425a80f1bd96361e9e5f9faa
11,Fearful-avoidant movement,unique cinematic photograph,scene_11.png,f36b26d5f1c950f6d5da8e193357bee1cd5744d882f38fd709264331e6d23905
12,Patterns are not boxes,unique cinematic photograph,scene_12.png,2d8309726e01388f9b8e8b742596e20272cd4989c2724952f857f81558cdbd52
13,Checkpoint 2 · Identify the coaching need,unique cinematic photograph,scene_13.png,191cfd2dfd55c36d27a474b703608a652579e9403b3efb7c0c9a2395141e3517
14,The attachment trigger cycle,unique cinematic photograph,scene_14.png,b3b21c0902a195708943880aa0c4d0c9e39dbc0fc4a2c85cc6f2accc3affa76c
15,Step 1: Describe the event,unique cinematic photograph,scene_15.png,04ae3b81173a75ccfbe8057d7f42faa3d326c85ed2321ca3aecb552dcfd328aa
16,Step 2: Notice the body signal,unique cinematic photograph,scene_16.png,2a35a7dd128977d57adc134aeb6f735b264b563466b1dac5ad17dd3963790a8f
17,Step 3: Name the story,unique cinematic photograph,scene_17.png,95fa729a878b761485e733e5c714f76e4de10c103d884146de710405a7130e67
18,Step 4: Identify the protective move,unique cinematic photograph,scene_18.png,ff38fafe1701a42879f827b1a3d2e740fd640082f4d42b5fc305de6a791c5ee9
