Question,A,B,C,D,Correct Answer,Explanation
What is the primary purpose of the ROUX Coaching Method?,To give the coach a fixed script for every conversation,To provide flexible structure while preserving client ownership,To diagnose why a client is unable to change,To move the client into action as quickly as possible,B,"ROUX gives the coach a reliable path without replacing the client’s voice, pace, values, or responsibility."
Which statement is an observation appropriate for Recognize?,You are afraid of success.,You always sabotage your progress.,You became quieter when you described the promotion.,Your childhood is causing this response.,C,An observation names what could be noticed without assigning an unconfirmed cause or diagnosis.
"A client says, “I just hate conflict.” Which response best demonstrates Open?",You need to become more comfortable with conflict.,What happens inside you when disagreement begins?,Start by confronting the easiest person.,Conflict avoidance usually comes from childhood.,B,"This question creates spacious, nonjudgmental exploration before advice, action, or interpretation."
Elena stops working whenever her new business becomes visible. Which question best supports Uncover?,Which productivity app will you use?,How many hours will you promise this week?,What becomes possible if the business succeeds—and what becomes uncomfortable?,Why are you undisciplined?,C,The question explores desire and protection together without shaming Elena or reducing the pattern to scheduling.
Which set of qualities belongs to a strong Execute step?,"Dramatic, impressive, coach-selected, and immediate","Specific, realistic, meaningful, client-owned, and connected to insight","Emotionally difficult, public, and guaranteed to succeed",Chosen by the coach and completed before the next session,B,"A useful action is clear enough to review, realistic in the client’s life, meaningful, owned by the client, and connected to learning."
A client did not complete an agreed action. What is the strongest accountability response?,Why didn’t you do what you promised?,You need a consequence so this does not happen again.,"What happened, what can we learn, and what needs to change in the plan?",I will choose a simpler assignment for you.,C,Accountability without shame treats the missed action as information and keeps responsibility with the client.
How is a framework different from a script?,A framework helps the coach understand what the conversation may need; a script prescribes exact words.,A framework is only for experienced coaches; a script is for beginners.,A framework guarantees the right result; a script does not.,There is no meaningful difference.,A,A framework supports responsive judgment. A script can pull attention away from the client and toward prepared words.
"A client says, “My manager excluded me, so she no longer respects me.” What should the coach clarify?","Only the emotion, because facts are not relevant in coaching","The observable event, the meaning assigned to it, and the emotional response",Whether the manager has a personality disorder,Which job the client should apply for next,B,"Recognize becomes precise when the coach distinguishes what occurred, what the client believes it means, and what the client feels."
Which situation requires ordinary coaching to pause for appropriate professional or emergency support?,A client wants accountability for updating a résumé.,A client is comparing two career opportunities.,A client reports immediate intent to harm themselves.,A client wants to clarify a personal value.,C,Immediate safety risk is outside ordinary coaching. The coach should respond calmly and follow appropriate emergency and referral procedures.
"A client says, “Just tell me what to do.” Which response best protects ownership?","I know the safest choice, so I will decide for you.","Before I offer any perspective, what feels most important for you to protect in this decision?","I made this decision once, so follow my example.",Choose the option that makes you least uncomfortable.,B,The response acknowledges the request while returning attention to the client’s values and decision-making.
A new fear appears while the client is designing an action step. What should the coach do?,Ignore it because the session has reached Execute.,Return flexibly to Recognize or Uncover before continuing.,Require the client to complete the action anyway.,End the coaching relationship.,B,"ROUX is a loop, not a rigid sequence. New information may require the conversation to return to an earlier stage."
Which example shows appropriate professional vulnerability from a coach?,Sharing a long personal story so the client feels less alone,"Saying, “I want to slow down because I may be making an assumption.”",Disclosing private details to prove the coach understands,Asking the client to reassure the coach after a difficult moment,B,"Appropriate vulnerability is brief, truthful, boundaried, and offered in service of the client—not the coach’s emotional needs."
