question,option_a,option_b,option_c,option_d,correct_answer,explanation
Vulnerability in this lesson is:,Maximum disclosure,Relevant honesty under uncertainty,A diagnosis,The absence of boundaries,B,"Useful vulnerability is chosen, relevant, purposeful, and cannot guarantee the response."
Why is oversharing not automatically courageous?,It is always dishonest,"Volume can ignore purpose, trust, relevance, and consequence",Coaches dislike details,Privacy is required,B,More disclosure is not inherently wiser or more values-aligned.
Armor should first be understood as:,A character defect,A strategy attempting to create safety or control,Proof of trauma,A reason to end coaching,B,Function-based curiosity lowers shame and reveals choice.
Which is an observable description?,She is avoidant,She changed the subject when sadness appeared,She cannot connect,She has intimacy issues,B,The statement describes behavior without imposing identity or diagnosis.
What is the correct Armor Map sequence?,"Cue, fear, strategy, relief, cost","Diagnosis, treatment, cure, result, score","Disclosure, praise, advice, action, reward","Feeling, fault, punishment, repair, certainty",A,"The map follows what happened, feared outcome, protection, immediate benefit, and later price."
Trust should be assessed through:,Relationship title alone,"Repeated behavior such as reliability, boundaries, honesty, and repair",The coach's intuition,One emotional conversation,B,Behavior over time provides better trust evidence than status or intensity.
A healthy boundary can support vulnerability by:,Controlling another adult,"Defining topic, audience, timing, and follow-through",Removing all uncertainty,Avoiding every difficult topic,B,Intentional conditions can make honest action safer and clearer.
"If a client declines a topic, the coach should:",Pressure gently,Respect the boundary and choose another useful focus,Diagnose resistance,End the session,B,Consent and client ownership remain essential even during emotionally meaningful work.
A courage ladder should:,Force the largest fear first,"Use graduated, client-owned practice within coaching scope",Guarantee comfort,Replace clinical treatment,B,Proportionate steps build flexible behavior without coercion or overwhelm.
Success in a courage experiment means:,The other person responds perfectly,The client acts in line with values and learns from the result,No anxiety appears,The coach's prediction is correct,B,"The client can control participation, not another person's response."
"When credible violence risk exists, the coach should:",Assign confrontation,Prioritize safety and appropriate specialized resources,Call fear armor,Promise confidentiality without limits,B,Ordinary courage practice must not increase danger.
The main goal of coaching emotional armor is:,Remove every defense,"Increase awareness, discernment, flexible choice, and responsible action",Create dramatic disclosure,Find a hidden diagnosis,B,"The client gains more options while retaining privacy, boundaries, and agency."
