question,option_a,option_b,option_c,option_d,correct_answer,explanation
Why are attachment patterns presented as lenses rather than identities?,Patterns never repeat,Responses are contextual and changeable,Labels are always illegal,Clients should avoid reflection,B,Patterns can vary across relationships and change through awareness and practice.
Secure functioning best means:,Never feeling fear,Closeness and autonomy can coexist,Never needing reassurance,Always remaining in a relationship,B,"Security includes connection, appropriate space, repair, and discernment."
What follows the observable event in the trigger map?,Diagnosis,Body signal,Confrontation,Forgiveness,B,The map notices activation before examining meaning and behavior.
Why regulate before interpreting?,Emotion must disappear,Activation can make fear feel like proof,Regulation guarantees repair,Relational topics are clinical,B,"Regulation creates space to distinguish feeling, fact, and assumption."
Which statement combines self-validation and reality checking?,"I feel afraid, so abandonment is certain",I should not feel this,"This hurts, and my first explanation may be incomplete",I need an answer now,C,It respects emotion while keeping interpretation open to evidence.
Healthy uncertainty tolerance should be paired with:,Endless patience,Clear standards and boundaries,Repeated checking,Avoiding requests,B,Clients can tolerate incomplete information without tolerating chronic harm.
Which is a non-controlling request?,Answer within ten minutes,"If you cared, you would know","When plans change, would you send a short message?",Never make me anxious,C,"It is specific, respectful, and allows the other adult choice."
Which practice supports avoidant vulnerability?,Forced disclosure,"One feeling, one need, and a time-bound return",Permanent distance,Explaining away emotion,B,Small consensual steps expand choice without forcing intimacy.
"When coaching emotional abandonment, avoid:",Clarifying patterns,Strengthening support,Diagnosing the absent partner,Planning a request,C,"Coaches work with the client's evidence, impact, standards, and choices."
Maya has sent six messages. The strongest immediate focus is:,A seventh message,"Regulation, facts, assumptions, and a pause",Ending the relationship for her,Promising everything is fine,B,The coach supports steadiness and choice without reassurance or direction.
Which concern requires urgent referral or escalation?,A delayed reply,Discomfort receiving care,Threats and coercive control,Uncertainty before a date,C,"Threats and coercive control are safety concerns, not ordinary communication problems."
The Roux Life attachment standard is:,Assign a permanent style,Use patterns as hypotheses and keep agency central,Treat trauma through coaching,Teach tolerance of all behavior,B,Attachment language supports awareness and agency while coaching scope remains clear.
